dataset,trace,utilization_pct,configuration,policy,model_type,total_segments,blocks_per_segment,seed,total_write_requests,logical_bytes_written,physical_bytes_written,gc_bytes_copied,valid_blocks_migrated,gc_count,main_stream_writes,cold_stream_writes,unpredicted_writes,prediction_coverage,waf,waf_vs_mixed_pct,migrations_vs_mixed_pct,gc_bytes_vs_mixed_pct
msr,msr_rsrch_0,70.0,MIXED,MIXED,none,1024,64,42,1000000,4096000000,5026254848,930254848,227113,18152,1000000,0,1000000,0.0,1.227113,0.0,0.0,0.0
msr,msr_rsrch_0,70.0,RULE_BASED,RULE_BASED,rule,1024,64,42,1000000,4096000000,4381310976,285310976,69656,15693,602084,397916,449013,0.550987,1.069656,-12.831499625543854,-69.32980498694482,-69.32980498694482
msr,msr_rsrch_0,70.0,LSTM scratch,LSTM_SMARTGC,scratch,1024,64,42,1000000,4096000000,4387160064,291160064,71084,15715,586643,413357,453869,0.5461309999999999,1.071084,-12.715128924557071,-68.70104309308583,-68.70104309308583
msr,msr_rsrch_0,70.0,LSTM pretrained,LSTM_SMARTGC,pretrained,1024,64,42,1000000,4096000000,4366786560,270786560,66110,15637,576079,423921,453869,0.5461309999999999,1.06611,-13.12047056791021,-70.8911422948048,-70.8911422948048
msr,msr_rsrch_0,70.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,1024,64,42,1000000,4096000000,4419645440,323645440,79015,15839,595619,404381,453869,0.5461309999999999,1.079015,-12.068815178390242,-65.20894884925126,-65.20894884925126
msr,msr_rsrch_0,80.0,MIXED,MIXED,none,896,64,42,1000000,4096000000,5816692736,1720692736,420091,21295,1000000,0,1000000,0.0,1.420091,0.0,0.0,0.0
msr,msr_rsrch_0,80.0,RULE_BASED,RULE_BASED,rule,896,64,42,1000000,4096000000,5269069824,1173069824,286394,19207,602084,397916,449013,0.550987,1.286394,-9.414678355119491,-31.825723474199634,-31.825723474199634
msr,msr_rsrch_0,80.0,LSTM scratch,LSTM_SMARTGC,scratch,896,64,42,1000000,4096000000,5292011520,1196011520,291995,19295,586643,413357,453869,0.5461309999999999,1.291995,-9.02026701105774,-30.49244092351419,-30.49244092351419
msr,msr_rsrch_0,80.0,LSTM pretrained,LSTM_SMARTGC,pretrained,896,64,42,1000000,4096000000,5139025920,1043025920,254645,18711,576079,423921,453869,0.5461309999999999,1.254645,-11.650380151694502,-39.383371698036854,-39.383371698036854
msr,msr_rsrch_0,80.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,896,64,42,1000000,4096000000,5380980736,1284980736,313716,19634,595619,404381,453869,0.5461309999999999,1.313716,-7.490717144183005,-25.32189454189687,-25.32189454189687
msr,msr_rsrch_0,85.0,MIXED,MIXED,none,843,64,42,1000000,4096000000,6506061824,2410061824,588394,23978,1000000,0,1000000,0.0,1.588394,0.0,0.0,0.0
msr,msr_rsrch_0,85.0,RULE_BASED,RULE_BASED,rule,843,64,42,1000000,4096000000,6262882304,2166882304,529024,23051,602084,397916,449013,0.550987,1.529024,-3.737737614219151,-10.090177670064616,-10.090177670064616
msr,msr_rsrch_0,85.0,LSTM scratch,LSTM_SMARTGC,scratch,843,64,42,1000000,4096000000,6244728832,2148728832,524592,22982,586643,413357,453869,0.5461309999999999,1.524592,-4.016761584342432,-10.843414446782258,-10.843414446782258
msr,msr_rsrch_0,85.0,LSTM pretrained,LSTM_SMARTGC,pretrained,843,64,42,1000000,4096000000,6169501696,2073501696,506226,22695,576079,423921,453869,0.5461309999999999,1.506226,-5.173023821545537,-13.96479229903772,-13.96479229903772
msr,msr_rsrch_0,85.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,843,64,42,1000000,4096000000,6311104512,2215104512,540797,23235,595619,404381,453869,0.5461309999999999,1.540797,-2.996548715243202,-8.089307504835196,-8.089307504835196
msr,msr_src2_0,69.9,MIXED,MIXED,none,1012,64,42,1000000,4096000000,4909584384,813584384,198629,17719,1000000,0,1000000,0.0,1.198629,0.0,0.0,0.0
msr,msr_src2_0,69.9,RULE_BASED,RULE_BASED,rule,1012,64,42,1000000,4096000000,4579467264,483467264,118034,16461,520817,479183,327695,0.6723049999999999,1.118034,-6.723932092415582,-40.5756460536981,-40.5756460536981
msr,msr_src2_0,69.9,LSTM scratch,LSTM_SMARTGC,scratch,1012,64,42,1000000,4096000000,4507693056,411693056,100511,16187,488133,511867,349040,0.65096,1.100511,-8.18585233629421,-49.39762068982878,-49.39762068982878
msr,msr_src2_0,69.9,LSTM pretrained,LSTM_SMARTGC,pretrained,1012,64,42,1000000,4096000000,4518834176,422834176,103231,16229,482209,517791,349040,0.65096,1.103231,-7.958926406753037,-48.028233540923026,-48.028233540923026
msr,msr_src2_0,69.9,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,1012,64,42,1000000,4096000000,4615217152,519217152,126762,16597,515338,484662,349040,0.65096,1.126762,-5.9957668302702425,-36.18152434941524,-36.18152434941524
msr,msr_src2_0,80.0,MIXED,MIXED,none,885,64,42,1000000,4096000000,5341569024,1245569024,304094,19494,1000000,0,1000000,0.0,1.304094,0.0,0.0,0.0
msr,msr_src2_0,80.0,RULE_BASED,RULE_BASED,rule,885,64,42,1000000,4096000000,5250875392,1154875392,281952,19149,520817,479183,327695,0.6723049999999999,1.281952,-1.697883741509439,-7.281301176609864,-7.281301176609864
msr,msr_src2_0,80.0,LSTM scratch,LSTM_SMARTGC,scratch,885,64,42,1000000,4096000000,5198311424,1102311424,269119,18948,488133,511867,349040,0.65096,1.269119,-2.681938571912759,-11.50137786342381,-11.50137786342381
msr,msr_src2_0,80.0,LSTM pretrained,LSTM_SMARTGC,pretrained,885,64,42,1000000,4096000000,5184847872,1088847872,265832,18897,482209,517791,349040,0.65096,1.265832,-2.933990954639774,-12.58229363288983,-12.58229363288983
