trace,predictor,family,sequence_length,test_samples,mae_us,rmse_us,median_abs_error_us,mae_log1p,hot_threshold_us,accuracy,precision,recall,f1,roc_auc,actual_hot_fraction,predicted_hot_fraction
msr_rsrch_0,scratch,lstm,20,22499,73700828.97952843,773057649.5390259,2883663.3842252977,1.042567485986208,80.0,0.9291079603537935,0.9196335983408227,0.824833359169121,0.8696575958159679,0.9789228124416087,0.2867238543935286,0.25716698519934217
msr_rsrch_0,pretrained,lstm,20,22499,70564234.32100539,775308641.3537846,1510724.6499642655,1.006902177797827,80.0,0.919107515889595,0.9236962488563586,0.7825143388621919,0.8472641826116146,0.9822105629321924,0.2867238543935286,0.24289968443041912
msr_rsrch_0,pretrained_finetuned,lstm,20,22499,70487141.80612342,770871762.7782791,1412292.0334149674,0.9507358360197437,80.0,0.9406640295124228,0.9194817973105937,0.8691675709192374,0.8936170212765958,0.9813445698016784,0.2867238543935286,0.27103426818969734
msr_rsrch_0,last_interval,baseline,20,22499,147515999.66558513,1125051333.6838465,19984296.0,8.275931993184752,80.0,0.47819903106804745,0.08942710759198882,0.08928848240582855,0.08935774123487435,0.32061753431381573,0.2867238543935286,0.2862793901951198
msr_rsrch_0,mean_interval,baseline,20,22499,98444919.4471332,773834128.9032176,11999906.0,4.660397918150167,80.0,0.7147873238810614,0.9722222222222222,0.005425515423965277,0.010790812394018807,0.6093479801256593,0.2867238543935286,0.0016000711142717455
msr_rsrch_0,median_interval,baseline,20,22499,81324630.44788657,797309131.480383,8999903.0,4.317582462048461,80.0,0.7309213742833015,0.6238303181534622,0.1550147263990079,0.2483238142537869,0.6606693106620304,0.2867238543935286,0.07124761100493356
msr_rsrch_0,moving_average_3,baseline,20,22499,117363860.73567714,854421727.8372972,13999956.0,4.790889971756533,80.0,0.7155429130183564,0.8148148148148148,0.010230971942334521,0.02020820575627679,0.49735971225217546,0.2867238543935286,0.003600160007111427
msr_rsrch_0,ema_0.5,baseline,20,22499,118448961.41105987,882910616.743999,14549939.562093318,4.821463150180881,80.0,0.7153206809191519,0.96,0.0074407068671523795,0.014766958929395477,0.4837954648687638,0.2867238543935286,0.002222320992044091
msr_src2_0,scratch,lstm,20,22500,96846511.94084397,585140913.2493156,2222985.638043101,1.0575708864886486,60.0,0.9164888888888889,0.932756079587325,0.7698038619431352,0.843481882548938,0.9806085516592695,0.29231111111111113,0.24124444444444446
msr_src2_0,pretrained,lstm,20,22500,94292772.14072518,592029701.5325328,2142344.9117564857,1.20819277623225,60.0,0.9086666666666666,0.927895533686601,0.7454766610916831,0.8267431076637719,0.9788132212714316,0.29231111111111113,0.23484444444444444
msr_src2_0,pretrained_finetuned,lstm,20,22500,91220866.64711241,586625235.7271336,2326937.281278655,0.9734853112634734,60.0,0.9393777777777778,0.9049246543420848,0.8856621559981754,0.8951897956047334,0.9801900769774747,0.29231111111111113,0.2860888888888889
msr_src2_0,last_interval,baseline,20,22500,194183214.02951112,852487108.7998917,38967619.5,9.652236252867878,60.0,0.45853333333333335,0.07193036041539401,0.07161319750646192,0.07177142857142858,0.28588370265367186,0.29231111111111113,0.29102222222222224
msr_src2_0,mean_interval,baseline,20,22500,142085789.79242444,589484445.9265884,23645382.75,5.351514517081959,60.0,0.7076888888888889,0.0,0.0,0.0,0.5835878994634462,0.29231111111111113,0.0
msr_src2_0,median_interval,baseline,20,22500,105435155.91208889,599196592.1157897,11901963.75,5.0188093488761325,60.0,0.7254222222222222,0.6521739130434783,0.12999847954994678,0.21678498985801214,0.6483544119324973,0.29231111111111113,0.05826666666666667
msr_src2_0,moving_average_3,baseline,20,22500,155398808.03813332,666027438.3855456,30009523.5,5.5030370448618005,60.0,0.7062222222222222,0.0,0.0,0.0,0.4732886058935883,0.29231111111111113,0.0014666666666666667
msr_src2_0,ema_0.5,baseline,20,22500,153342026.7926408,650471376.0985714,33549624.262420904,5.513022606654192,60.0,0.7076888888888889,0.0,0.0,0.0,0.4599575303342104,0.29231111111111113,0.0
systor_lun0,scratch,lstm,20,22490,11744917.419432228,33364783.278432496,3322947.7084825337,1.1170490222336822,274668.0,0.9072921298354825,0.8007789678675754,0.7947429454967143,0.7977495392375593,0.961100754273348,0.2300578034682081,0.22832369942196531
systor_lun0,pretrained,lstm,20,22490,13615228.704124717,38874552.13519676,3665042.658612963,1.3613989448337354,274668.0,0.8760337927967986,0.7221601489757914,0.749516814843448,0.7355842185128982,0.9318671482133021,0.2300578034682081,0.2387727879057359
systor_lun0,pretrained_finetuned,lstm,20,22490,11436712.787971199,33754339.25129535,2801443.703115411,1.107215275023875,274668.0,0.9084037349933304,0.7966844512195121,0.8080788558175492,0.8023412013049318,0.9602737363898941,0.2300578034682081,0.23334815473543796
systor_lun0,last_interval,baseline,20,22490,19673367.56740774,51539834.1120861,5053699.0,2.5055016949787072,274668.0,0.7430858159181859,0.44167632290459635,0.4420177812137611,0.4418469860896445,0.6555676056062604,0.2300578034682081,0.23023566029346376
systor_lun0,mean_interval,baseline,20,22490,20199530.273119163,38439383.29089362,5941332.800000001,2.156513806700841,274668.0,0.7775455758114718,0.9090909090909091,0.03672207189795129,0.07059260635333456,0.705653352275888,0.2300578034682081,0.009293019119608715
systor_lun0,median_interval,baseline,20,22490,15353657.258892842,39678240.20737872,3920112.0,1.8262393821989855,274668.0,0.8112939084037349,0.624198717948718,0.45168148434480093,0.5241085445167077,0.8533046181384025,0.2300578034682081,0.16647398843930636
systor_lun0,moving_average_3,baseline,20,22490,16772666.226930486,37445260.21071771,4466765.5,2.110397545436835,274668.0,0.7796353935082259,0.5770862800565771,0.15771163509856978,0.24772313296903462,0.6292044810115935,0.2300578034682081,0.06287238772787905
systor_lun0,ema_0.5,baseline,20,22490,17302541.027839694,40033171.50804804,4752484.3401182555,2.058232793408553,274668.0,0.7883948421520676,0.7577639751552795,0.11789717819868574,0.2040474995818699,0.6522016221716647,0.2300578034682081,0.035793686082703426
