rank,sequence_length,hidden_dim,num_layers,dropout,learning_rate,train_samples,val_samples,best_epoch,epochs_run,early_stopped,val_loss,val_mae_us,val_rmse_us,val_mae_log1p,training_seconds,selected
1,20,64,2,0.1,0.0005,280029,59986,5,5,False,0.07243731500239901,25590130.645589154,185447809.03696766,1.1708663343606622,261.14100000000326,True
2,20,32,2,0.1,0.001,280029,59986,5,5,False,0.07202369774977836,25991814.369901627,186535179.6942569,1.1650289059286523,198.73399999999674,False
3,20,64,2,0.1,0.001,280029,59986,4,5,False,0.0695197059672706,26482980.650132492,182960791.80062652,1.1308295782295203,257.7969999999914,False
4,20,32,2,0.1,0.0005,280029,59986,4,5,False,0.07583128863944859,27123184.09616357,188306997.65048242,1.2067126786932423,213.0,False
5,10,32,2,0.1,0.0005,280013,60045,5,5,False,0.07832794709072027,38599682.79538814,259842707.86117613,1.2684866524924232,181.81200000000536,False
6,10,64,2,0.1,0.0005,280013,60045,5,5,False,0.07678180293381917,38731116.46743999,259300571.68072796,1.2461714842137996,183.6710000000021,False
7,10,64,2,0.1,0.001,280013,60045,4,5,False,0.07493432983018546,39058818.86351467,259495006.37744445,1.2436844901225357,171.46900000001187,False
8,10,32,2,0.1,0.001,280013,60045,5,5,False,0.07602927990280076,39559460.11474937,260303850.00772083,1.239413021051023,187.39100000000326,False
9,5,64,2,0.1,0.0005,280021,60005,5,5,False,0.083630376054523,81555193.83063358,502829657.72392106,1.3638154124994093,177.73500000001513,False
10,5,64,2,0.1,0.001,280021,60005,5,5,False,0.0822120683312878,83504627.13866897,503340204.01924753,1.3520099609668639,177.25,False
11,5,32,2,0.1,0.0005,280021,60005,5,5,False,0.08902390729159466,84709268.94993421,501562006.0651124,1.4486855512512358,151.56200000000536,False
12,5,32,2,0.1,0.001,280021,60005,5,5,False,0.08511480467651483,86043464.50036526,495832854.7374668,1.407611018409492,148.43799999999464,False
