trace,predictor,family,hot_threshold_us,n,accuracy,precision,recall,f1,roc_auc,true_positives,false_positives,true_negatives,false_negatives,actual_hot_fraction,predicted_hot_fraction
msr_rsrch_0,scratch,lstm,80.0,22499,0.9291079603537936,0.9196335983408228,0.824833359169121,0.8696575958159679,0.9789228124416088,5321,465,15583,1130,0.2867238543935286,0.2571669851993421
msr_rsrch_0,pretrained,lstm,80.0,22499,0.919107515889595,0.9236962488563586,0.7825143388621919,0.8472641826116146,0.9822105629321924,5048,417,15631,1403,0.2867238543935286,0.2428996844304191
msr_rsrch_0,pretrained_finetuned,lstm,80.0,22499,0.9406640295124228,0.9194817973105937,0.8691675709192374,0.8936170212765958,0.9813445698016784,5607,491,15557,844,0.2867238543935286,0.2710342681896973
msr_rsrch_0,last_interval,baseline,80.0,22499,0.4781990310680474,0.0894271075919888,0.0892884824058285,0.0893577412348743,0.3206175343138157,576,5865,10183,5875,0.2867238543935286,0.2862793901951198
msr_rsrch_0,mean_interval,baseline,80.0,22499,0.7147873238810614,0.9722222222222222,0.0054255154239652,0.0107908123940188,0.6093479801256593,35,1,16047,6416,0.2867238543935286,0.0016000711142717
msr_rsrch_0,median_interval,baseline,80.0,22499,0.7309213742833015,0.6238303181534622,0.1550147263990079,0.2483238142537869,0.6606693106620304,1000,603,15445,5451,0.2867238543935286,0.0712476110049335
msr_rsrch_0,moving_average_3,baseline,80.0,22499,0.7155429130183564,0.8148148148148148,0.0102309719423345,0.0202082057562767,0.4973597122521754,66,15,16033,6385,0.2867238543935286,0.0036001600071114
msr_rsrch_0,ema_0.5,baseline,80.0,22499,0.7153206809191519,0.96,0.0074407068671523,0.0147669589293954,0.4837954648687638,48,2,16046,6403,0.2867238543935286,0.002222320992044
msr_src2_0,scratch,lstm,60.0,22500,0.9164888888888888,0.932756079587325,0.7698038619431352,0.843481882548938,0.9806085516592696,5063,365,15558,1514,0.2923111111111111,0.2412444444444444
msr_src2_0,pretrained,lstm,60.0,22500,0.9086666666666666,0.927895533686601,0.7454766610916831,0.8267431076637719,0.9788132212714316,4903,381,15542,1674,0.2923111111111111,0.2348444444444444
msr_src2_0,pretrained_finetuned,lstm,60.0,22500,0.9393777777777778,0.9049246543420848,0.8856621559981754,0.8951897956047334,0.9801900769774748,5825,612,15311,752,0.2923111111111111,0.2860888888888889
msr_src2_0,last_interval,baseline,60.0,22500,0.4585333333333333,0.071930360415394,0.0716131975064619,0.0717714285714285,0.2858837026536718,471,6077,9846,6106,0.2923111111111111,0.2910222222222222
msr_src2_0,mean_interval,baseline,60.0,22500,0.7076888888888889,0.0,0.0,0.0,0.5835878994634462,0,0,15923,6577,0.2923111111111111,0.0
msr_src2_0,median_interval,baseline,60.0,22500,0.7254222222222222,0.6521739130434783,0.1299984795499467,0.2167849898580121,0.6483544119324973,855,456,15467,5722,0.2923111111111111,0.0582666666666666
msr_src2_0,moving_average_3,baseline,60.0,22500,0.7062222222222222,0.0,0.0,0.0,0.4732886058935883,0,33,15890,6577,0.2923111111111111,0.0014666666666666
msr_src2_0,ema_0.5,baseline,60.0,22500,0.7076888888888889,0.0,0.0,0.0,0.4599575303342104,0,0,15923,6577,0.2923111111111111,0.0
systor_lun0,scratch,lstm,274668.0,22490,0.9072921298354824,0.8007789678675754,0.7947429454967143,0.7977495392375593,0.961100754273348,4112,1023,16293,1062,0.2300578034682081,0.2283236994219653
systor_lun0,pretrained,lstm,274668.0,22490,0.8760337927967986,0.7221601489757914,0.749516814843448,0.7355842185128982,0.931867148213302,3878,1492,15824,1296,0.2300578034682081,0.2387727879057359
systor_lun0,pretrained_finetuned,lstm,274668.0,22490,0.9084037349933304,0.7966844512195121,0.8080788558175492,0.8023412013049318,0.960273736389894,4181,1067,16249,993,0.2300578034682081,0.2333481547354379
systor_lun0,last_interval,baseline,274668.0,22490,0.7430858159181859,0.4416763229045963,0.4420177812137611,0.4418469860896445,0.6555676056062604,2287,2891,14425,2887,0.2300578034682081,0.2302356602934637
systor_lun0,mean_interval,baseline,274668.0,22490,0.7775455758114718,0.9090909090909092,0.0367220718979512,0.0705926063533345,0.705653352275888,190,19,17297,4984,0.2300578034682081,0.0092930191196087
systor_lun0,median_interval,baseline,274668.0,22490,0.8112939084037349,0.624198717948718,0.4516814843448009,0.5241085445167077,0.8533046181384025,2337,1407,15909,2837,0.2300578034682081,0.1664739884393063
systor_lun0,moving_average_3,baseline,274668.0,22490,0.7796353935082259,0.5770862800565771,0.1577116350985697,0.2477231329690346,0.6292044810115935,816,598,16718,4358,0.2300578034682081,0.062872387727879
systor_lun0,ema_0.5,baseline,274668.0,22490,0.7883948421520676,0.7577639751552795,0.1178971781986857,0.2040474995818699,0.6522016221716647,610,195,17121,4564,0.2300578034682081,0.0357936860827034
