trace,predictor,family,sequence_length,test_samples,mae_us,rmse_us,median_abs_error_us,mae_log1p,hot_threshold_us,accuracy,precision,recall,f1,roc_auc,actual_hot_fraction,predicted_hot_fraction
msr_rsrch_0,scratch,lstm,20,22499,73700828.97952843,773057649.5390259,2883663.3842252977,1.042567485986208,80.0,0.9291079603537936,0.9196335983408228,0.824833359169121,0.8696575958159679,0.9789228124416088,0.2867238543935286,0.2571669851993421
msr_rsrch_0,pretrained,lstm,20,22499,70564234.32100539,775308641.3537846,1510724.6499642655,1.006902177797827,80.0,0.919107515889595,0.9236962488563586,0.7825143388621919,0.8472641826116146,0.9822105629321924,0.2867238543935286,0.2428996844304191
msr_rsrch_0,pretrained_finetuned,lstm,20,22499,70487141.80612342,770871762.7782791,1412292.0334149674,0.9507358360197437,80.0,0.9406640295124228,0.9194817973105937,0.8691675709192374,0.8936170212765958,0.9813445698016784,0.2867238543935286,0.2710342681896973
msr_rsrch_0,last_interval,baseline,20,22499,147515999.66558513,1125051333.6838465,19984296.0,8.275931993184752,80.0,0.4781990310680474,0.0894271075919888,0.0892884824058285,0.0893577412348743,0.3206175343138157,0.2867238543935286,0.2862793901951198
msr_rsrch_0,mean_interval,baseline,20,22499,98444919.4471332,773834128.9032176,11999906.0,4.660397918150167,80.0,0.7147873238810614,0.9722222222222222,0.0054255154239652,0.0107908123940188,0.6093479801256593,0.2867238543935286,0.0016000711142717
msr_rsrch_0,median_interval,baseline,20,22499,81324630.44788657,797309131.480383,8999903.0,4.317582462048461,80.0,0.7309213742833015,0.6238303181534622,0.1550147263990079,0.2483238142537869,0.6606693106620304,0.2867238543935286,0.0712476110049335
msr_rsrch_0,moving_average_3,baseline,20,22499,117363860.73567714,854421727.8372972,13999956.0,4.790889971756533,80.0,0.7155429130183564,0.8148148148148148,0.0102309719423345,0.0202082057562767,0.4973597122521754,0.2867238543935286,0.0036001600071114
msr_rsrch_0,ema_0.5,baseline,20,22499,118448961.41105989,882910616.743999,14549939.562093318,4.821463150180881,80.0,0.7153206809191519,0.96,0.0074407068671523,0.0147669589293954,0.4837954648687638,0.2867238543935286,0.002222320992044
msr_src2_0,scratch,lstm,20,22500,96846511.94084395,585140913.2493156,2222985.638043101,1.0575708864886486,60.0,0.9164888888888888,0.932756079587325,0.7698038619431352,0.843481882548938,0.9806085516592696,0.2923111111111111,0.2412444444444444
msr_src2_0,pretrained,lstm,20,22500,94292772.14072518,592029701.5325328,2142344.9117564857,1.20819277623225,60.0,0.9086666666666666,0.927895533686601,0.7454766610916831,0.8267431076637719,0.9788132212714316,0.2923111111111111,0.2348444444444444
msr_src2_0,pretrained_finetuned,lstm,20,22500,91220866.6471124,586625235.7271336,2326937.281278655,0.9734853112634734,60.0,0.9393777777777778,0.9049246543420848,0.8856621559981754,0.8951897956047334,0.9801900769774748,0.2923111111111111,0.2860888888888889
msr_src2_0,last_interval,baseline,20,22500,194183214.02951112,852487108.7998917,38967619.5,9.652236252867878,60.0,0.4585333333333333,0.071930360415394,0.0716131975064619,0.0717714285714285,0.2858837026536718,0.2923111111111111,0.2910222222222222
